trainName,capacity,stationName,arrivalTime,departureTime,stopOrder
IR1592,180,Bucuresti Nord,START,07:00,1
IR1592,180,Ploiesti Sud,07:52,07:54,2
IR1592,180,Brasov,09:15,09:20,3
IR1592,180,Sinaia,08:30,08:32,4
IR1592,180,Predeal,08:55,08:57,5
IR1592,180,Sf. Gheorghe,10:05,10:07,6
IR1592,180,Miercurea Ciuc,11:10,END,7
IC513,220,Bucuresti Nord,START,06:30,1
IC513,220,Sinaia,08:05,08:07,2
IC513,220,Brasov,09:00,09:10,3
IC513,220,Sighisoara,11:20,11:25,4
IC513,220,Medias,12:10,12:12,5
IC513,220,Blaj,12:45,12:47,6
IC513,220,Cluj-Napoca,14:00,END,7
IR1833,160,Cluj-Napoca,START,08:00,1
IR1833,160,Dej,08:55,08:57,2
IR1833,160,Beclean,09:30,09:32,3
IR1833,160,Bistrita,10:15,10:20,4
IR1833,160,Vatra Dornei,12:40,12:45,5
IR1833,160,Suceava,14:30,END,6
R4032,120,Brasov,START,10:00,1
R4032,120,Fagaras,10:55,10:57,2
R4032,120,Avrig,11:30,11:32,3
R4032,120,Sibiu,12:10,END,4
IR1765,200,Timisoara Nord,START,07:15,1
IR1765,200,Lugoj,08:00,08:02,2
IR1765,200,Caransebes,08:50,08:55,3
IR1765,200,Orsova,10:30,10:32,4
IR1765,200,Drobeta-Turnu Severin,11:10,11:15,5
IR1765,200,Craiova,13:00,END,6
R8041,100,Sibiu,START,09:00,1
R8041,100,Copsa Mica,09:40,09:42,2
R8041,100,Blaj,10:15,10:17,3
R8041,100,Teius,10:45,10:47,4
R8041,100,Alba Iulia,11:10,END,5
IR1681,180,Bucuresti Nord,START,09:00,1
IR1681,180,Urziceni,09:55,09:57,2
IR1681,180,Slobozia,10:50,10:52,3
IR1681,180,Fetesti,11:40,11:42,4
IR1681,180,Cernavoda,12:10,12:12,5
IR1681,180,Constanta,13:00,END,6
